ISIN;Nom;Type;Score_global;Couverture_pct;Criteres_notes;Rang;Date_MAJ
FR0011490648;ECOSLOPS;Action;52.0;60.0;drawdown|performance|sharpe|sortino|volatilite;196;2026-09-05
FR0011040500;74SOFTWARE;Action;51.7;60.0;drawdown|performance|sharpe|sortino|volatilite;197;2026-09-05
FR0006205019;LOMBARD ET MEDOT;Action;51.5;60.0;drawdown|performance|sharpe|sortino|volatilite;198;2026-09-05
BE0974464977;SYENSQO;Action;51.3;60.0;drawdown|performance|sharpe|sortino|volatilite;199;2026-09-05
FR0000062671;EXAIL TECHNOLOGIES;Action;50.9;60.0;drawdown|performance|sharpe|sortino|volatilite;200;2026-09-05
FR0010131409;WALLIX;Action;50.9;60.0;drawdown|performance|sharpe|sortino|volatilite;201;2026-09-05
FR0007080254;LES HOTELS BAVEREZ;Action;50.8;60.0;drawdown|performance|sharpe|sortino|volatilite;202;2026-09-05
FR0010959684;COLIPAYS;Action;50.8;60.0;drawdown|performance|sharpe|sortino|volatilite;203;2026-09-05
FR0004159473;HEXAOM;Action;50.6;60.0;drawdown|performance|sharpe|sortino|volatilite;204;2026-09-05
FR0010465534;EO2;Action;50.6;60.0;drawdown|performance|sharpe|sortino|volatilite;205;2026-09-05
FR0000065484;LECTRA;Action;50.5;60.0;drawdown|performance|sharpe|sortino|volatilite;206;2026-09-05
FR0000130213;LAGARDERE SA;Action;50.3;60.0;drawdown|performance|sharpe|sortino|volatilite;207;2026-09-05
FR0000074197;UNION TECH.INFOR.;Action;50.0;60.0;drawdown|performance|sharpe|sortino|volatilite;208;2026-09-05
FR0004040608;ABC ARBITRAGE;Action;50.0;60.0;drawdown|performance|sharpe|sortino|volatilite;209;2026-09-05
FR0000051393;IDI;Action;49.9;60.0;drawdown|performance|sharpe|sortino|volatilite;210;2026-09-05
FR0004038263;PARROT;Action;49.7;60.0;drawdown|performance|sharpe|sortino|volatilite;211;2026-09-05
FR0000045239;CRCAM LOIRE HTE L.;Action;48.6;60.0;drawdown|performance|sharpe|sortino|volatilite;212;2026-09-05
FR0004180578;SWORD GROUP;Action;48.6;60.0;drawdown|performance|sharpe|sortino|volatilite;213;2026-09-05
FR0000064529;NSC GROUPE;Action;48.5;60.0;drawdown|performance|sharpe|sortino|volatilite;214;2026-09-05
FR0004010338;GROUPE JAJ;Action;48.3;60.0;drawdown|performance|sharpe|sortino|volatilite;215;2026-09-05
BE0165385973;MELEXIS;Action;48.2;60.0;drawdown|performance|sharpe|sortino|volatilite;216;2026-09-05
BE0974288202;XIOR;Action;48.2;60.0;drawdown|performance|sharpe|sortino|volatilite;217;2026-09-05
FR0004050250;NEURONES;Action;48.0;60.0;drawdown|performance|sharpe|sortino|volatilite;218;2026-09-05
FR0004007813;KAUFMAN ET BROAD;Action;47.4;60.0;drawdown|performance|sharpe|sortino|volatilite;219;2026-09-05
FR0007052782;AMUNDI ETF CAC 40;ETF;47.4;60.0;drawdown|performance|sharpe|sortino|volatilite;220;2026-09-05
FR0000064578;COVIVIO;Action;47.3;60.0;drawdown|performance|sharpe|sortino|volatilite;221;2026-09-05
FR0000061608;PISCINES DESJOYAUX;Action;47.2;60.0;drawdown|performance|sharpe|sortino|volatilite;222;2026-09-05
FR0004186856;VETOQUINOL;Action;47.1;60.0;drawdown|performance|sharpe|sortino|volatilite;223;2026-09-05
FR0000121691;NRJ GROUP;Action;46.9;60.0;drawdown|performance|sharpe|sortino|volatilite;224;2026-09-05
FR0000130692;CIECHARGEURSINVEST;Action;46.8;60.0;drawdown|performance|sharpe|sortino|volatilite;225;2026-09-05
FR0010397901;TRILOGIQ;Action;46.7;60.0;drawdown|performance|sharpe|sortino|volatilite;226;2026-09-05
FR0010487272;FINAXO;Action;46.7;60.0;drawdown|performance|sharpe|sortino|volatilite;227;2026-09-05
FR0011038348;KLARSEN;Action;46.6;60.0;drawdown|performance|sharpe|sortino|volatilite;228;2026-09-05
FR0000065278;HOPSCOTCH GROUPE;Action;45.9;60.0;drawdown|performance|sharpe|sortino|volatilite;229;2026-09-05
FR0010396309;HITECHPROS;Action;45.9;60.0;drawdown|performance|sharpe|sortino|volatilite;230;2026-09-05
FR0000074759;FLEURY MICHON;Action;45.8;60.0;drawdown|performance|sharpe|sortino|volatilite;231;2026-09-05
FR0000053324;ALPES (COMPAGNIE);Action;45.5;60.0;drawdown|performance|sharpe|sortino|volatilite;232;2026-09-05
FR0010428771;EAGLEFOOTBALLGROUP;Action;45.4;60.0;drawdown|performance|sharpe|sortino|volatilite;233;2026-09-05
FR0006864484;LAURENT-PERRIER;Action;44.9;60.0;drawdown|performance|sharpe|sortino|volatilite;234;2026-09-05
FR0010447086;CHEOPS TECHNOLOGY;Action;44.2;60.0;drawdown|performance|sharpe|sortino|volatilite;235;2026-09-05
FR0000065393;COURTOIS;Action;44.1;60.0;drawdown|performance|sharpe|sortino|volatilite;236;2026-09-05
FR0000033243;IMMOB.DASSAULT;Action;44.0;60.0;drawdown|performance|sharpe|sortino|volatilite;237;2026-09-05
FR0000124570;OPMOBILITY;Action;43.7;60.0;drawdown|performance|sharpe|sortino|volatilite;238;2026-09-05
FR0000062234;COMPAGNIE ODET;Action;43.5;60.0;drawdown|performance|sharpe|sortino|volatilite;239;2026-09-05
