ISIN;Nom;Type;Score_global;Couverture_pct;Criteres_notes;Rang;Date_MAJ
FR0000035784;EVERGREEN;Action;10.8;60.0;drawdown|performance|sharpe|sortino|volatilite;370;2026-09-05
BE0974371032;BANQUP GROUP;Action;10.5;60.0;drawdown|performance|sharpe|sortino|volatilite;371;2026-09-05
FR0000054371;SPEED RABBIT PIZZA;Action;10.5;60.0;drawdown|performance|sharpe|sortino|volatilite;372;2026-09-05
BE0974314461;BELYSSE GROUP;Action;10.2;60.0;drawdown|performance|sharpe|sortino|volatilite;373;2026-09-05
DE000A11Q133;HK;Action;9.9;60.0;drawdown|performance|sharpe|sortino|volatilite;374;2026-09-05
BE0974276082;ONTEX GROUP;Action;9.5;60.0;drawdown|performance|sharpe|sortino|volatilite;375;2026-09-05
FR0011184241;ADOCIA;Action;9.4;60.0;drawdown|performance|sharpe|sortino|volatilite;376;2026-09-05
FR0000032526;GUERBET;Action;9.1;60.0;drawdown|performance|sharpe|sortino|volatilite;377;2026-09-05
FR0011041011;BLUELINEA;Action;8.5;60.0;drawdown|performance|sharpe|sortino|volatilite;378;2026-09-05
BE6333353298;BONYF;Action;7.8;60.0;drawdown|performance|sharpe|sortino|volatilite;379;2026-09-05
FR0010169920;PREDILIFE;Action;7.7;60.0;drawdown|performance|sharpe|sortino|volatilite;380;2026-09-05
FR0000062465;ALAN ALLMAN;Action;7.5;60.0;drawdown|performance|sharpe|sortino|volatilite;381;2026-09-05
FR0011053636;CAPITAL B;Action;6.2;60.0;drawdown|performance|sharpe|sortino|volatilite;382;2026-09-05
BE0974358906;NYXOAH;Action;6.1;60.0;drawdown|performance|sharpe|sortino|volatilite;383;2026-09-05
FR0010869495;AMUNDI ETF DAX DS2;ETF;5.3;60.0;drawdown|performance|sharpe|sortino|volatilite;384;2026-09-05
BE0974502347;FLORIDIENNE;Action;5.1;60.0;drawdown|performance|sharpe|sortino|volatilite;385;2026-09-05
FR0000074072;BIGBEN INTERACTIVE;Action;4.6;60.0;drawdown|performance|sharpe|sortino|volatilite;386;2026-09-05
FR0010424697;ETHERO;Action;4.0;60.0;drawdown|performance|sharpe|sortino|volatilite;387;2026-09-05
BE0974487192;OXURION;Action;3.6;60.0;drawdown|performance|sharpe|sortino|volatilite;388;2026-09-05
FR0010411884;AMUNDI ETF BX4;ETF;1.8;60.0;drawdown|performance|sharpe|sortino|volatilite;389;2026-09-05
